,https://github.com/tensorflow/tensorflow/commit/6045ccea11b31174d5d9b147fddedf1b5f5af384,2024-02-09 21:00:51,No
5169,https://github.com/tensorflow/tensorflow/commit/a82e0e7922d6dc657b42ef2b3a7a1a52194454c8,2018-05-01 12:10:07,no
1918,https://github.com/tensorflow/tensorflow/commit/9e62869465573cb2d9b5053f1fa02a81fce21d69,2021-07-29 19:35:05,Yes
1071,https://github.com/tensorflow/tensorflow/commit/d65f58d94e9847da38336ae1d6807bf83f787610,2022-08-31 14:46:41,No
234,https://github.com/tensorflow/tensorflow/commit/fae6dd87b5f8f2058fa33c4523d5717b4caa7a41,2023-10-05 18:10:14,No
2621,https://github.com/tensorflow/tensorflow/commit/82f4f50f4fbfd74aceb741ff097d6c42688b5023,2020-10-14 18:39:09,Yes
2463,https://github.com/tensorflow/tensorflow/commit/b6be9714e878a7dd0d1405bd7a83e021ba4b561a,2020-12-20 16:15:39,No
1688,https://github.com/tensorflow/tensorflow/commit/4216a88f65299713ec9df803ae1660d607e56abe,2021-11-17 09:16:13,No
4803,https://github.com/tensorflow/tensorflow/commit/e66aea59e0367618f924ffe3bc3b1140be8eaf45,2018-10-28 20:30:21,Yes
5267,https://github.com/tensorflow/tensorflow/commit/13ef0af4867477cdda7e0b294e61560c2952df42,2018-03-25 06:01:31,Yes
3956,https://github.com/tensorflow/tensorflow/commit/fbb355779e65a003954ec17f78af1ebe15ab71c3,2019-07-24 14:09:48,no
4844,https://github.com/tensorflow/tensorflow/commit/9b558126e31d25ec4e82cb4f50033d6eca44349a,2018-10-08 16:03:40,No
3008,https://github.com/tensorflow/tensorflow/commit/41aea74ea2b693ab772ccdd181c546f4c96c3f4e,2020-06-02 13:54:19,No
679,https://github.com/tensorflow/tensorflow/commit/3bea547a3a4b638cc3b5f70bf30d62b2c433c9a0,2023-02-21 06:11:18,No
5346,https://github.com/tensorflow/tensorflow/commit/b9018073ec1afc7dfc302ab171db8bf5b177c2dd,2018-02-07 01:09:14,No
1883,https://github.com/tensorflow/tensorflow/commit/234a51acec19b5728a07915e89eb8f01f4c80b06,2021-08-03 18:22:40,No
775,https://github.com/tensorflow/tensorflow/commit/7c13bb5e2604efc48823c816409b73104d9fd507,2023-01-23 20:29:20,No
1694,https://github.com/tensorflow/tensorflow/commit/0aaaae6eca5a7175a193696383f582f53adab23f,2021-11-13 11:23:57,No
4699,https://github.com/tensorflow/tensorflow/commit/758fcb5909dc31ac6c2e0c424b1e412379d96e7b,2018-12-12 19:31:33,No
6029,https://github.com/tensorflow/tensorflow/commit/2098b9abcf20d2c9694055bbfd6997bc00b73578,2016-10-05 12:55:48,No
300,https://github.com/tensorflow/tensorflow/commit/aa1204b2220383bb0ea6fc636c1e10e1617a55aa,2023-08-22 15:18:14,No
1317,https://github.com/tensorflow/tensorflow/commit/c7d2d1a3ccd76c73d2467651cf5328eb45eae198,2022-05-16 15:16:54,No
4429,https://github.com/tensorflow/tensorflow/commit/8aef83c4004475455bea353e2ae1908d2cd46dca,2019-03-29 16:47:13,No
540,https://github.com/tensorflow/tensorflow/commit/7ee6022b17404a7232c887002ff6eb43d008be6d,2023-04-11 18:58:05,Yes
4733,https://github.com/tensorflow/tensorflow/commit/d3125a94f3b160ae4bb1ca48ef4c67cc65071c8c,2018-11-29 14:35:47,No
1783,https://github.com/tensorflow/tensorflow/commit/f410212e373eb2aec4c9e60bf3702eba99a38aba,2021-09-30 09:43:41,Yes
2355,https://github.com/tensorflow/tensorflow/commit/feeab90bfcb97ea88bfa0c8f7eef8d3189a548fe,2021-02-08 10:49:02,No
5946,https://github.com/tensorflow/tensorflow/commit/12940319ebf08e2fb1bb92b82e309c20759e44a4,2016-12-12 18:45:25,Yes
2005,https://github.com/tensorflow/tensorflow/commit/c87e93e54f84205377693d1ae22ed728390f695f,2021-06-20 23:30:32,No
2015,https://github.com/tensorflow/tensorflow/commit/c549a303b54a6407145509cfca020052b34e8daf,2021-06-14 23:28:00,no
2542,https://github.com/tensorflow/tensorflow/commit/6674647c205921cbe9e2bdbb160051aa7ba4054b,2020-11-16 15:07:53,Yes
388,https://github.com/tensorflow/tensorflow/commit/8b116e21d125efe69764316a86af4f109bb3d5b6,2023-07-10 16:19:40,No
3904,https://github.com/tensorflow/tensorflow/commit/b234ff0ee4ce87d21a3e5306b678e1fb4b1fedfc,2019-08-06 12:59:40,Yes
2253,https://github.com/tensorflow/tensorflow/commit/f98490da998ef0887c91d4aed55bae1ddd75f8ee,2021-03-16 19:13:14,No
2332,https://github.com/tensorflow/tensorflow/commit/f776f871fe625853289a951ac864f3b17895d3b6,2021-02-17 09:47:36,No
1034,https://github.com/tensorflow/tensorflow/commit/2aa9e7e4c7581cb47fc69324d98883c252bee263,2022-09-20 13:06:48,No
3128,https://github.com/tensorflow/tensorflow/commit/bb86c3c1f016cd4683ec241e176652527b3ef54f,2020-04-16 15:59:55,No
4305,https://github.com/tensorflow/tensorflow/commit/0d34db852ad25b8ff828f8f220dc74ab34baccc0,2019-04-09 17:32:03,No
5947,https://github.com/tensorflow/tensorflow/commit/2166d20cf2308b4f0e1a895ac8b8aacaf04dd15f,2016-12-12 16:45:18,No
5487,https://github.com/tensorflow/tensorflow/commit/bac56b37be7736c9da9a3257696a9c1241327d60,2017-11-13 16:11:13,Yes
4494,https://github.com/tensorflow/tensorflow/commit/4deb9199af89315980627567144490487f0ece11,2019-03-20 05:52:27,No
1753,https://github.com/tensorflow/tensorflow/commit/3aad286d39f0227b2edd218e04b5e9438e18b25e,2021-10-19 03:21:07,No
269,https://github.com/tensorflow/tensorflow/commit/74a206527e98a8da65a8c341a8ac182b2c8ee377,2023-09-13 14:47:13,No
5488,https://github.com/tensorflow/tensorflow/commit/6470669cc4cef9c8f23527121cf0e20b72d2bfa0,2017-11-13 14:57:08,Yes
2370,https://github.com/tensorflow/tensorflow/commit/486b8f124fed67b47059c4be932cff1ed330fe26,2021-02-01 17:20:53,No
5610,https://github.com/tensorflow/tensorflow/commit/fed46a0e7a48ac667b414fcfa244d187c2e83235,2017-09-08 04:06:00,No
4058,https://github.com/tensorflow/tensorflow/commit/31c7a4a6be5f50a8e78bbf6281bfe9837f4f3d18,2019-06-22 15:12:09,no
3530,https://github.com/tensorflow/tensorflow/commit/e840aa5e286a5b57aeb92560a6374bf31f22fe99,2019-11-22 17:06:59,No
4989,https://github.com/tensorflow/tensorflow/commit/b53f5aa1f6f1abea6457e9828f2041c95b3b1720,2018-07-27 17:25:46,No
744,https://github.com/tensorflow/tensorflow/commit/ea460a531a997ba18abf09d06db428641e04b447,2023-02-01 15:13:38,No
5429,https://github.com/tensorflow/tensorflow/commit/ad82d251fbf937e95f578e7980b0b10936eda62a,2017-12-21 20:38:31,No
3097,https://github.com/tensorflow/tensorflow/commit/3b58a7de85aba2f17d863b3b6218c641e8dcd5cc,2020-04-25 22:17:43,No
2430,https://github.com/tensorflow/tensorflow/commit/c30b352174f2c2346bb66ef7d977abc7299ef117,2021-01-07 16:21:02,No
5963,https://github.com/tensorflow/tensorflow/commit/c36d4a5592c99605d555a45d493302266af96891,2016-11-20 09:51:19,Yes
1568,https://github.com/tensorflow/tensorflow/commit/2939613ef8340a75c13a470d4097dbd7e4b6b534,2022-01-07 18:54:44,No
5512,https://github.com/tensorflow/tensorflow/commit/f1916f8f6cf46b5383b90511ba66e60aed545030,2017-10-31 16:39:48,No
3941,https://github.com/tensorflow/tensorflow/commit/e95ed2691b47476f4c59153d40a8382f402235fb,2019-07-26 09:07:28,no
819,https://github.com/tensorflow/tensorflow/commit/c6fcfde6299e553c2412896445700db6fd24f07a,2023-01-10 05:41:12,No
625,https://github.com/tensorflow/tensorflow/commit/86a6ae648623045538a346ea5641fc4c98d310b2,2023-03-13 22:16:57,No
4884,https://github.com/tensorflow/tensorflow/commit/05ec322172958f6e67e4bcaef4681e6aa54fabeb,2018-09-19 13:55:51,Yes
669,https://github.com/tensorflow/tensorflow/commit/3f43b4eb7c183b3ce077dbee5b06c1b1ac201d72,2023-02-23 20:54:13,no
1220,https://github.com/tensorflow/tensorflow/commit/0118c4b04ba071af27995e2eee4280408cbf82e4,2022-06-24 00:04:44,No
3631,https://github.com/tensorflow/tensorflow/commit/906dbb3c8c3378da8fa8b5da24148ecae3506a2b,2019-10-22 13:09:46,Yes
2023,https://github.com/tensorflow/tensorflow/commit/a0360b0b24f5c20d3a654a968ebc5d561c2397c3,2021-06-11 15:10:18,No
5824,https://github.com/tensorflow/tensorflow/commit/86780b511d774ea6e0c065c308a1e7e6a86d60d3,2017-03-31 12:45:06,No
1393,https://github.com/tensorflow/tensorflow/commit/a14c424e77d539443c03ea814e89d89050ee3609,2022-03-25 20:38:12,Yes
1181,https://github.com/tensorflow/tensorflow/commit/83dcb4dbfa094e33db084e97c4d0531a559e0ebf,2022-07-14 13:55:24,Yes
847,https://github.com/tensorflow/tensorflow/commit/2c72ca8c439d64268e849ef81cde78f464e95ca2,2022-12-21 20:45:40,No
2671,https://github.com/tensorflow/tensorflow/commit/326a4b419c07141eeb82a8f1087dfe55fbec9187,2020-09-24 15:58:15,No
5167,https://github.com/tensorflow/tensorflow/commit/f5dbc1e16622f433f41f195bb33f56d674a004ce,2018-05-01 19:35:52,Yes
1190,https://github.com/tensorflow/tensorflow/commit/26543280ccd3bc0dc0660193fc13c6ade51632e9,2022-07-11 21:52:15,no
6196,https://github.com/tensorflow/tensorflow/commit/3ef33a1c67dae5bb4835e0e753f95ad966ff5624,2016-05-02 14:42:13,No
4570,https://github.com/tensorflow/tensorflow/commit/dae9cabbe8fa18cee697c197f10c3a12658f7f10,2019-02-08 08:11:18,No
6103,https://github.com/tensorflow/tensorflow/commit/d8433ed84ef7e47b25edfcde9e39c2a4ac3f8e05,2016-08-09 16:01:44,No
2342,https://github.com/tensorflow/tensorflow/commit/14dae44e4050ea3e44d1ca7124fd99899eb24879,2021-02-12 19:38:52,No
4617,https://github.com/tensorflow/tensorflow/commit/c8e8f35f3e39b36d105eb7e43321a9da1362f242,2019-01-25 14:50:15,Yes
3817,https://github.com/tensorflow/tensorflow/commit/90a7bd752008bb4a395dc66b5ec2e994d1abef55,2019-08-28 19:39:48,no
2227,https://github.com/tensorflow/tensorflow/commit/1a53e0392c2ce7f13c35b44b320abbd6377ad929,2021-03-24 21:51:08,Yes
645,https://github.com/tensorflow/tensorflow/commit/992400143a588658bc946a8335d02b2089c7872e,2023-03-06 14:04:48,No
3028,https://github.com/tensorflow/tensorflow/commit/f0609b8f272c066f548baf2359d706850e5650d9,2020-05-25 13:12:21,No
3268,https://github.com/tensorflow/tensorflow/commit/3be1f72f52ec9033305eca08e23747a0bc6d5726,2020-02-27 21:52:42,No
654,https://github.com/tensorflow/tensorflow/commit/ba66ac3415591c25d6e07edb554b8f8e7f067ed7,2023-03-02 14:16:12,No
4556,https://github.com/tensorflow/tensorflow/commit/8aa71253c73992ae7ec1a5cfc59d469fcdc06d11,2019-02-14 13:40:37,No
3792,https://github.com/tensorflow/tensorflow/commit/3706ccd34aa161a1fb07f1efb31cb34bcd111424,2019-09-04 14:27:20,Yes
2043,https://github.com/tensorflow/tensorflow/commit/5024accf1e36f1f2a5777dbd93b94747be32f9ad,2021-06-01 07:58:32,No
5282,https://github.com/tensorflow/tensorflow/commit/6b2e5a4a1a11f3bed1260bf63cf78af3e7109a9d,2018-03-14 22:10:58,No
721,https://github.com/tensorflow/tensorflow/commit/9910b18b4bc3066352ec02b227d450c4f7749c6b,2023-02-08 00:15:42,Yes
177,https://github.com/tensorflow/tensorflow/commit/f8bd1ae461266720087224fdfa009b6aaf79803b,2023-11-14 08:58:45,no
5356,https://github.com/tensorflow/tensorflow/commit/087401a6a92c3d449c9564fff252d85ce736e5ff,2018-02-01 18:10:06,No
4639,https://github.com/tensorflow/tensorflow/commit/21734ca1e7f61ab8d62119b5a99be2926da58a7c,2019-01-17 20:36:56,Yes
5529,https://github.com/tensorflow/tensorflow/commit/3238fab55f4e9daf5a06fc44e78082da42fad8a0,2017-10-19 18:34:44,no
5418,https://github.com/tensorflow/tensorflow/commit/969f5a06271f506ce53c0078d2cf706393a7ee56,2018-01-04 21:57:24,No
516,https://github.com/tensorflow/tensorflow/commit/b72d0d639076ca2ef3c847c8c99dc3c39c98123f,2023-05-01 12:54:58,Yes
947,https://github.com/tensorflow/tensorflow/commit/fcc97a32a8671814935e735492258089976c4457,2022-10-27 04:05:19,No
4076,https://github.com/tensorflow/tensorflow/commit/a987df178b4e8608f437028ff7da06b9bc7ae5e5,2019-06-19 17:36:43,No
2198,https://github.com/tensorflow/tensorflow/commit/cc7b2e4eb00aae5597970f549b38e11665bc0f81,2021-04-15 03:44:17,No
4907,https://github.com/tensorflow/tensorflow/commit/d644e729caa4071cc2571cf679acac4392117848,2018-09-07 15:51:30,No
587,https://github.com/tensorflow/tensorflow/commit/0e2077363049f3d242ccff3e203c7d0ad4572c1d,2023-03-24 15:10:12,No
5898,https://github.com/tensorflow/tensorflow/commit/bb4407a5c1ceec6e08c478fb8254c297bfe27d8d,2017-02-01 16:14:54,No
2789,https://github.com/tensorflow/tensorflow/commit/a954cfe789babc224229d37c518a2744820a0fbd,2020-08-14 20:08:39,No
4092,https://github.com/tensorflow/tensorflow/commit/8211365f9e8aed8cec7b63d7eb992ab104422f8c,2019-06-15 20:03:10,No
